Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit),Exchange 7 (Name),Exchange 7 (Amount),Exchange 7 (Unit)
,"distribution network construction, electricity, low voltage_prod",2.1075862068965515e-09,kilometer,,,,,,,,,,,,,,,,,,
,"oil power plant construction, 500MW_prod",9.656196e-12,unit,,,,,,,,,,,,,,,,,,
,"photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_prod",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,"offsite_distribution network construction, electricity, low voltage_dist",2.1075862068965515e-09,kilometer,,,,,,,,,,,,,,,,,,
,,,,"offsite_diesel, burned in building machine_cs",0.0530788142857143,megajoule,,,,,,,,,,,,,,,
,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,,,,,,,,,,
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,,,,
,,,,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,
,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,
,,,,"offsite_excavation, hydraulic digger_cs",40.26386908,cubic meter,,,,,,,,,,,,,,,
,"offsite_oil power plant construction, 500MW_dist",9.656196e-12,unit,,,,,,,,,,,,,,,,,,
,"offsite_photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_dist",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,"offsite_distribution electricity, alternative_0",1,item,,,,,,,,,,,,,,,,,,
,"offsite_distribution electricity, alternative_1",1,item,,,,,,,,,,,,,,,,,,
,"offsite_electricity production, photovoltaic, 3kWp facade installation, multi-Si, panel, mounted_use",0.618,kilowatt hour,,,,,,,,,,,,,,,,,,
,,,,offsite_market for municipal solid waste_cs,-7.28229731977652e-06,cubic meter,,,,,,,,,,,,,,,
,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,,,,,,,
,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,
,"offsite_inverter production, 2.5kW_eol",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,,,,offsite_market for waste polyethylene_cs,-0.059999999999999984,kilogram,,,,,,,,,,,,,,,
,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,,,,,,,
,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,,,,,,,
,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,
,,,,offsite_market for waste polystyrene_cs,-0.31000000000000044,kilogram,,,,,,,,,,,,,,,
,"offsite_photovoltaic mounting system production, for facade installation_eol",8.352888e-06,square meter,,,,,,,,,,,,,,,,,,
,"offsite_photovoltaic panel production, multi-Si wafer_eol",8.352888e-06,square meter,,,,,,,,,,,,,,,,,,
,,,,"offsite_market for waste plastic, mixture_cs",-1.6860999999999962,kilogram,,,,,,,,,,,,,,,
,"offsite_photovoltaics, electric installation for 3kWp module, at building_eol",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,,,,offsite_market for waste polyvinylchloride_cs,-0.201888287918487,kilogram,,,,,,,,,,,,,,,
,"distribution network construction, electricity, low voltage_prod",2.1075862068965515e-09,kilometer,,,,,,,,,,,,,,,,,,
,"oil power plant construction, 500MW_prod",9.656196e-12,unit,,,,,,,,,,,,,,,,,,
,"photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_prod",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,"onsite_distribution network construction, electricity, low voltage_dist",2.1075862068965515e-09,kilometer,,,,,,,,,,,,,,,,,,
,,,,"onsite_diesel, burned in building machine_cs",0.0530788142857143,megajoule,,,,,,,,,,,,,,,
,,,,,,,onsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,,,,,,,,,,
,,,,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,,,,onsite_road construction_cs,0.00109,meter-year,,,,,,
,,,,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,
,,,,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,
,,,,"onsite_excavation, hydraulic digger_cs",40.26386908,cubic meter,,,,,,,,,,,,,,,
,"onsite_oil power plant construction, 500MW_dist",9.656196e-12,unit,,,,,,,,,,,,,,,,,,
,"onsite_photovoltaic facade installation, 3kWp, multi-Si, panel, mounted, at building_dist",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,"onsite_electricity production, photovoltaic, 3kWp facade installation, multi-Si, panel, mounted_use",0.618,kilowatt hour,,,,,,,,,,,,,,,,,,
,,,,onsite_market for municipal solid waste_cs,-7.28229731977652e-06,cubic meter,,,,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,,,,
,,,,,,,,,,onsite_road construction_cs,0.00109,meter-year,,,,,,,,,
,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,,,,
,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",36.3,megajoule,,,,,,
,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,,,,
,"onsite_inverter production, 2.5kW_eol",8.352888e-06,unit,,,,,,,,,,,,,,,,,,
,,,,onsite_market for waste polyethylene_cs,-0.059999999999999984,kilogram,,,,,,,,,,,,,,,
