Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit)
,"distribution network construction, electricity, low voltage_prod",5.517241379310345e-09,kilometer,,,,,,,,,,,,,,,
,"oil power plant construction, 500MW_prod",2.5300000000000002e-11,unit,,,,,,,,,,,,,,,
,"offsite_distribution network construction, electricity, low voltage_dist",5.517241379310345e-09,kilometer,,,,,,,,,,,,,,,
,,,,"offsite_diesel, burned in building machine_cs",0.0530788142857143,megajoule,,,,,,,,,,,,
,,,,,,,"offsite_diesel, burned in building machine_cs",1.0,megajoule,,,,,,,,,
,,,,,,,,,,"offsite_diesel, burned in building machine_cs",1.0,megajoule,,,,,,
,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",1.0,megajoule,,,
,,,,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",1.0,megajoule
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,,,,
,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram
,,,,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year
,,,,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer
,,,,,,,,,,,,,,,,offsite_road construction_cs,-1.45614035087719e-05,kilogram
,,,,,,,offsite_market for municipal solid waste_cs,-0.0005139999999999998,kilogram,,,,,,,,,
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-117.803652968037,kilogram
,,,,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter
,,,,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule
,,,,,,,,,,,,,,,,offsite_road construction_cs,1.0,meter-year
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram
,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,
,,,,,,,,,,,,,,,,offsite_road maintenance_cs,1.0,meter-year
,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram
,,,,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year
,,,,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer
,,,,,,,,,,,,,,,,offsite_road construction_cs,-1.45614035087719e-05,kilogram
,,,,,,,,,,,,,offsite_road construction_cs,-1.45614035087719e-05,kilogram,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-117.803652968037,kilogram
,,,,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter
,,,,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule
,,,,,,,,,,,,,,,,offsite_road construction_cs,1.0,meter-year
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram
,,,,"offsite_excavation, hydraulic digger_cs",40.26386908,cubic meter,,,,,,,,,,,,
,,,,,,,"offsite_excavation, hydraulic digger_cs",1.0,cubic meter,,,,,,,,,
,,,,,,,,,,"offsite_excavation, hydraulic digger_cs",1.0,cubic meter,,,,,,
,,,,,,,,,,,,,"offsite_excavation, hydraulic digger_cs",1.0,cubic meter,,,
,,,,,,,,,,,,,,,,"offsite_excavation, hydraulic digger_cs",1.0,cubic meter
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0025,kilogram
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0025,kilogram,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.0025,kilogram,,,,,,
,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram
,,,,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year
,,,,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer
,,,,,,,,,,,,,,,,offsite_road construction_cs,-1.45614035087719e-05,kilogram
,,,,,,,offsite_market for municipal solid waste_cs,-0.0025,kilogram,,,,,,,,,
,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram,,,
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer
,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-117.803652968037,kilogram
,,,,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter
,,,,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule
,,,,,,,,,,,,,,,,offsite_road construction_cs,1.0,meter-year
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.3516700000000002,kilogram
,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,
,,,,,,,,,,,,,,,,offsite_road maintenance_cs,1.0,meter-year
,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer,,,
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram
,,,,,,,,,,,,,,,,offsite_market for municipal solid waste_cs,-0.00016756015037594,kilogram
,,,,,,,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year
,,,,,,,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year
,,,,,,,,,,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",1.0,ton kilometer
,,,,,,,,,,,,,,,,offsite_road construction_cs,-1.45614035087719e-05,kilogram
