Scenario Process,Exchange 1 (Name),Exchange 1 (Amount),Exchange 1 (Unit),Exchange 2 (Name),Exchange 2 (Amount),Exchange 2 (Unit),Exchange 3 (Name),Exchange 3 (Amount),Exchange 3 (Unit),Exchange 4 (Name),Exchange 4 (Amount),Exchange 4 (Unit),Exchange 5 (Name),Exchange 5 (Amount),Exchange 5 (Unit),Exchange 6 (Name),Exchange 6 (Amount),Exchange 6 (Unit)
,chimney production_prod,4.1825000000000003e-07,meter,,,,,,,,,,,,,,,
,"oil boiler production, 100kW_prod",9.798999999999999e-08,unit,,,,,,,,,,,,,,,
,"oil storage production, 3000l_prod",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,
,"offsite_heat production, light fuel oil, at boiler 100kW, non-modulating_use",1.0,megajoule,,,,,,,,,,,,,,,
,offsite_chimney production_eol,4.1825000000000003e-07,meter,,,,,,,,,,,,,,,
,"offsite_oil boiler production, 100kW_eol",9.798999999999999e-08,unit,,,,,,,,,,,,,,,
,,,,"offsite_market for waste plastic, mixture_cs",-0.132696527270367,kilogram,,,,,,,,,,,,
,,,,,,,"offsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,offsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,,,,
,,,,,,,,,,offsite_road construction_cs,0.00109,meter-year,,,,,,
,,,,,,,,,,,,,"offsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,
,,,,,,,,,,,,,"offsite_diesel, burned in building machine_cs",36.3,megajoule,,,
,,,,,,,,,,offsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,
,"offsite_oil storage production, 3000l_eol",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,
,chimney production_prod,4.1825000000000003e-07,meter,,,,,,,,,,,,,,,
,"oil boiler production, 100kW_prod",9.798999999999999e-08,unit,,,,,,,,,,,,,,,
,"oil storage production, 3000l_prod",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,
,"onsite_heat production, light fuel oil, at boiler 100kW, non-modulating_use",1.0,megajoule,,,,,,,,,,,,,,,
,onsite_chimney production_eol,4.1825000000000003e-07,meter,,,,,,,,,,,,,,,
,"onsite_oil boiler production, 100kW_eol",9.798999999999999e-08,unit,,,,,,,,,,,,,,,
,,,,"onsite_market for waste plastic, mixture_cs",-0.132696527270367,kilogram,,,,,,,,,,,,
,,,,,,,"onsite_transport, freight, lorry >32 metric ton, EURO3_cs",0.01932,ton kilometer,,,,,,,,,
,,,,,,,,,,onsite_market for municipal solid waste_cs,-1.6912030075188e-05,kilogram,,,,,,
,,,,,,,,,,onsite_road construction_cs,0.00109,meter-year,,,,,,
,,,,,,,,,,,,,"onsite_excavation, skid-steer loader_cs",0.242,cubic meter,,,
,,,,,,,,,,,,,"onsite_diesel, burned in building machine_cs",36.3,megajoule,,,
,,,,,,,,,,onsite_road maintenance_cs,8.09172e-05,meter-year,,,,,,
,"onsite_oil storage production, 3000l_eol",1.8124166666666666e-07,unit,,,,,,,,,,,,,,,
