Method Name,Type,Category,Flow ID,Flow Name,Category.1,Subcategory,Unit,Impact Factor
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1277,Chloroform,air,,kilogram,0.520739246741554
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),146,Chloroform,air,urban air close to ground,kilogram,0.520817794135618
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1274,Chloroform,air,non-urban air or from high stacks,kilogram,0.52066069934749
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1276,Chloroform,air,lower stratosphere + upper troposphere,kilogram,0.52066069934749
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1275,Chloroform,air,"low population density, long-term",kilogram,0.52066069934749
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1401,"Ethane, 1,1,1-trichloro-, HCFC-140",air,,kilogram,0.244436861027372
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),257,"Ethane, 1,1,1-trichloro-, HCFC-140",air,urban air close to ground,kilogram,0.244465242560578
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1398,"Ethane, 1,1,1-trichloro-, HCFC-140",air,non-urban air or from high stacks,kilogram,0.244408479494166
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1400,"Ethane, 1,1,1-trichloro-, HCFC-140",air,lower stratosphere + upper troposphere,kilogram,0.244408479494166
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1399,"Ethane, 1,1,1-trichloro-, HCFC-140",air,"low population density, long-term",kilogram,0.244408479494166
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1425,"Ethane, 1,2-dichloro-",air,,kilogram,0.406514621536868
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),263,"Ethane, 1,2-dichloro-",air,urban air close to ground,kilogram,0.406498726379045
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity'),1422,"Ethane, 1,2-dichloro-",air,non-urban air or from high stacks,kilogram,0.406530516694692
