Method Name,Flow ID,Flow Name,Category,Subcategory,Unit,Impact Factor
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1277,Chloroform,air,,kilogram,0.246
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",146,Chloroform,air,urban air close to ground,kilogram,0.246
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1274,Chloroform,air,non-urban air or from high stacks,kilogram,0.245
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1276,Chloroform,air,lower stratosphere + upper troposphere,kilogram,0.245
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1275,Chloroform,air,"low population density, long-term",kilogram,0.245
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1401,"Ethane, 1,1,1-trichloro-, HCFC-140",air,,kilogram,0.189
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",257,"Ethane, 1,1,1-trichloro-, HCFC-140",air,urban air close to ground,kilogram,0.189
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1398,"Ethane, 1,1,1-trichloro-, HCFC-140",air,non-urban air or from high stacks,kilogram,0.189
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1400,"Ethane, 1,1,1-trichloro-, HCFC-140",air,lower stratosphere + upper troposphere,kilogram,0.189
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1399,"Ethane, 1,1,1-trichloro-, HCFC-140",air,"low population density, long-term",kilogram,0.189
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1425,"Ethane, 1,2-dichloro-",air,,kilogram,0.122
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",263,"Ethane, 1,2-dichloro-",air,urban air close to ground,kilogram,0.122
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1422,"Ethane, 1,2-dichloro-",air,non-urban air or from high stacks,kilogram,0.122
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1424,"Ethane, 1,2-dichloro-",air,lower stratosphere + upper troposphere,kilogram,0.122
