Method Name;Type;Category;Flow ID;Impact Factor
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1277;0.246
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;146;0.246
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1274;0.245
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1276;0.245
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1275;0.245
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1401;0.189
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;257;0.189
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1398;0.189
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1400;0.189
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1399;0.189
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1425;0.122
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;263;0.122
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1422;0.122
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1424;0.122
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1423;0.122
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1437;0.339
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;266;0.339
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1434;0.339
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1436;0.339
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1435;0.339
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1697;10.5
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;459;10.5
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1694;10.5
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1696;10.5
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1695;10.5
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1721;0.0831
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;465;0.0832
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1718;0.0831
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1720;0.0831
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1719;0.0831
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1741;0.0569
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;470;0.0569
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1738;0.0569
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1740;0.0569
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1739;0.0569
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1745;0.0437
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;472;0.0442
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1742;0.0432
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1744;0.0432
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1743;0.0432
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2105;46.9
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;763;48.3
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2102;45.6
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2104;45.6
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2103;45.6
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;997;0.836
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;994;0.814
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;995;0.814
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1;0.858
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;996;0.814
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2424;7.31
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2422;1.19e-06
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2423;7.31
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2420;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2421;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1001;0.193
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;998;0.192
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;999;0.192
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2;0.194
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1000;0.192
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2429;15.6
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2427;0.00226
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2428;15.6
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2425;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2426;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3676;28.7
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;4;27.5
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3983;402.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3984;541.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3986;1280.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3985;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3992;221.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3991;70.8
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3994;15400.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3993;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3934;28.2
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3935;33.7
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3937;1380.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;3936;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;4062;1210.0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1009;0.946
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1006;0.551
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1007;0.551
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;5;1.34
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1008;0.551
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2439;61.7
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2437;7.79e-07
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2438;61.7
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2435;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2436;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1017;0.173
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1014;0.172
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1015;0.172
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;7;0.174
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1016;0.172
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2444;8.58
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2442;0.00285
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2443;8.58
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2440;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;2441;0
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;4063;16.1
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1029;0.0676
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1026;0.0672
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;1027;0.0672
IMPACT World+ Midpoint 2.0; Midpoint; Freshwater ecotoxicity;10;0.068
