Method Name,Type,Category,Flow ID,Impact Factor
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1277,0.520739246741554
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,146,0.520817794135618
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1274,0.52066069934749
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1276,0.52066069934749
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1275,0.52066069934749
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1401,0.244436861027372
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,257,0.244465242560578
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1398,0.244408479494166
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1400,0.244408479494166
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1399,0.244408479494166
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1425,0.406514621536868
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,263,0.406498726379045
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1422,0.406530516694692
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1424,0.406530516694692
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1423,0.406530516694692
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1437,0.493431617233256
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,266,0.493532341439002
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1434,0.493330893027511
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1436,0.493330893027511
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1435,0.493330893027511
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1697,17.0443005331222
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,459,17.0470727350922
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1694,17.0415283311522
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1696,17.0415283311522
