Method Name,Type,Category,Flow ID,Impact Factor
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1277,0.245533166393353
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,146,0.245684278610136
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1274,0.245382054176569
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1276,0.245382054176569
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1275,0.245382054176569
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1401,0.188812651674037
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,257,0.188856910119675
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1398,0.188768393228399
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1400,0.188768393228399
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1399,0.188768393228399
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1425,0.121614638661007
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,263,0.12169934224048
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1422,0.121529935081533
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1424,0.121529935081533
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1423,0.121529935081533
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1437,0.339091357574418
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,266,0.339264573477432
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1434,0.338918141671404
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1436,0.338918141671404
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1435,0.338918141671404
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1697,10.4923404238406
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,459,10.4966182867081
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1694,10.488062560973
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1696,10.488062560973
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1695,10.488062560973
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1721,0.0831258782922513
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,465,0.0831758826235117
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1718,0.0830758739609909
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1720,0.0830758739609909
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1719,0.0830758739609909
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1741,0.0569082490867596
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,470,0.0569332633989304
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1738,0.0568832347745888
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1740,0.0568832347745888
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1739,0.0568832347745888
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1745,0.0436990770662306
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,472,0.0441537124754588
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1742,0.0432444416570024
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1744,0.0432444416570024
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1743,0.0432444416570024
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2105,74.2010914122731
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,763,92.6255722029228
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2102,55.7766106216233
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2104,55.7766106216233
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2103,55.7766106216233
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,997,2.06002825076724
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,994,1.83717448759213
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,995,1.83717448759213
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1,2.28288201394236
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,996,1.83717448759213
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2424,3.65276103060546
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2422,2.67798944756738e-06
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2423,7.30551938322147
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2420,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2421,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1001,0.193228414115809
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,998,0.192346619906723
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,999,0.192346619906723
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2,0.194110208324896
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1000,0.192346619906723
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2429,7.82227851089885
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2427,0.002261807548557
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2428,15.6422952142492
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2425,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2426,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3676,46.5346624638603
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,4,27.389974670719
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3983,421.983860444178
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3984,540.589628491289
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3986,1283.09845322806
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3985,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3992,225.905272958142
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3991,70.8839697860741
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3994,15394.2437681213
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3993,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3934,51.1793315474572
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3935,55.6821205368299
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3937,1391.32679806285
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3936,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,4062,1214.50028156148
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1009,9.47180828197734
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1006,1.80802275144541
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1007,1.80802275144541
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,5,17.1355938125093
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1008,1.80802275144541
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2439,30.850734957733
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2437,2.5413352247e-06
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2438,61.7014673741308
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2435,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2436,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1017,0.173102292564596
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1014,0.172137956503252
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1015,0.172137956503252
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,7,0.17406662862594
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1016,0.172137956503252
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2444,4.29328863362843
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2442,0.0028513938709918
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2443,8.58372587338587
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2440,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2441,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,4063,16.1279682203958
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1029,0.0676647906031296
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1026,0.0672649326848014
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1027,0.0672649326848014
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,10,0.0680646485214578
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1028,0.0672649326848014
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2454,1.23765025869799
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2452,0.0010155131684522
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2453,2.47428500422753
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2450,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2451,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,4027,901.201854402759
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1033,0.230100176511437
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1030,0.229513300831268
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1031,0.229513300831268
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,11,0.230687052191606
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1032,0.229513300831268
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2459,10.7816254048509
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2457,0.0048379887971247
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2458,21.5584128209047
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2455,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2456,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2463,7.3367346890127
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2461,0.0042799629537233
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2462,14.6691894150717
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,12,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2460,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1037,0.019484660717023
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1034,0.0196936493221523
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1035,0.0196936493221523
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,13,0.0192756721118937
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1036,0.0196936493221523
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2468,3.02597648710774
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2466,0.0013355557023938
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2467,6.05061741851308
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2464,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2465,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,4064,0.789873861717676
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1041,3.85024723733413
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1038,3.30686634662204
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1039,3.30686634662204
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,15,4.39362812804622
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1040,3.30686634662204
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2473,2172.33495225082
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2471,0.416039724803537
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2472,4344.25386477684
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2469,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,2470,0.0
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,3701,50.2583566075876
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,17,35.1188247563531
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1045,0.275885686791682
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1042,0.280160934603374
IMPACT World+ Midpoint 2.0, Midpoint, Freshwater ecotoxicity,1043,0.280160934603374
